RecordedDate,response_id,Q1_a,Q1_b,Q1_c,Q1_d,Q1_e,Q2_a,Q2_b,Q2_c,Q2_d,Q2_e,Q3_a,Q3_b,Q3_c,Q4_a,Q4_b,Q4_c,Q5_a,Q5_b,Q6_a,Q6_b,Q7_a,Q7_b,Q7_c,Q7_d,Q7_e,Q8_a,Q8_b,Q8_c,Q8_d,Q8_e,Q10,Q11_a,Q11_b,Q11_c,Q11_d,Q12_a,Q12_b,Q12_c,Q12_d,wave,Q17,Q18,Q19,Q20,t_c
5/23/22 9:44,1,3,6,4,5,4,3,5,4,5,4,5,4,4,5,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,6,1,1,,,,,
6/2/22 13:00,2,5,5,4,6,6,5,6,6,6,6,7,6,6,7,6,6,1,1,1,1,2,1,1,1,2,2,1,1,1,2,3,5,6,6,6,5,6,6,6,1,,,,,
6/6/22 15:22,2,6,5,6,6,6,6,5,6,6,6,7,5,6,7,5,6,,,,,,,,,,,,,,,,6,7,7,7,6,7,7,7,2,Good,Good,6,7,
8/12/22 18:29,3,6,6,6,6,6,6,6,6,6,6,7,5,6,7,5,6,1,5,1,5,2,1,1,2,3,2,1,1,2,3,2,6,2,2,2,6,2,2,2,1,,,,,
8/15/22 12:45,3,7,5,7,7,7,6,6,7,7,7,7,6,6,7,6,6,,,,,,,,,,,,,,,,6,7,7,7,7,7,7,7,2,Excellent,Excellent,7,7,
5/13/22 8:31,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,1,7,7,7,7,1,7,1,7,7,7,7,7,7,7,7,1,,,,,
7/11/22 11:26,4,7,5,6,7,7,6,6,6,6,7,,,,,,,1,1,1,1,4,1,1,2,3,5,2,5,5,5,2,7,7,6,7,7,6,6,7,3,,,,,1
3/25/22 9:55,5,3,4,4,5,5,3,4,4,5,5,6,5,5,5,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5,6,2,5,5,6,1,,,,,
3/22/22 15:58,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,
3/23/22 13:03,7,5,7,7,7,7,6,7,7,7,7,7,6,6,7,7,7,1,2,1,1,1,1,1,1,2,1,2,1,1,2,5,2,2,6,6,2,4,7,6,1,,,,,
3/29/22 12:58,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,6,,,,,,,,,,,,,,,,2,7,7,7,2,7,7,7,2,Excellent,Good,7,7,
6/6/22 10:03,8,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,4,4,5,5,4,7,7,6,1,,,,,
7/5/22 15:01,8,6,6,6,6,6,6,6,6,6,6,,,,,,,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,6,6,5,3,7,7,5,3,,,,,0
8/19/22 12:19,9,2,6,6,7,7,2,2,7,7,7,7,7,7,7,7,7,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,,,,,
8/22/22 12:33,9,7,7,6,7,7,7,6,6,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Excellent,Excellent,7,7,
4/7/22 11:57,10,5,5,5,4,6,6,6,5,5,5,7,7,5,7,7,5,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,6,4,6,6,6,6,6,4,1,,,,,
5/24/22 9:44,11,5,5,5,6,6,5,5,5,6,6,5,6,5,5,6,5,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,5,6,7,7,5,6,7,7,1,,,,,
7/11/22 19:15,11,6,6,6,6,6,6,6,6,6,6,,,,,,,1,3,1,1,3,1,1,1,2,3,1,1,1,1,1,6,7,7,7,6,7,7,7,3,,,,,1
5/16/22 15:48,12,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,2,1,1,2,2,3,1,1,2,2,3,5,4,4,5,5,4,4,5,1,,,,,
8/30/22 16:35,13,6,7,7,7,7,6,7,7,7,7,7,4,2,7,4,2,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,2,Excellent,Excellent,7,6,
6/2/22 11:36,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,2,1,1,2,2,2,1,1,2,2,5,7,7,7,7,7,7,7,7,1,,,,,
